Anno;Tipo variazione;Codice Regione;Codice Istat del Comune;Denominazione Comune;Codice Istat del Comune associato alla variazione o nuovo codice Istat del Comune ;Denominazione Comune associata alla variazione o nuova denominazione;Provvedimento e Documento;Contenuto del provvedimento;Data decorrenza validità amministrativa
1992;AP;03;015148;Montanaso Lombardo;098040;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015153;Mulazzano;098041;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015160;Orio Litta;098042;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015162;Ospedaletto Lodigiano;098043;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015163;Ossago Lodigiano;098044;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015174;Pieve Fissiraga;098045;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015190;Salerano sul Lambro;098046;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015193;San Fiorano;098047;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015196;San Martino in Strada;098048;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015197;San Rocco al Porto;098049;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015198;Sant'Angelo Lodigiano;098050;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015199;Santo Stefano Lodigiano;098051;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015203;Secugnago;098052;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015207;Senna Lodigiana;098053;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015214;Somaglia;098054;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015215;Sordio;098055;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015218;Terranova dei Passerini;098057;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015225;Turano Lodigiano;098058;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015228;Valera Fratta;098059;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015238;Villanova del Sillaro;098060;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015240;Tavazzano con Villavesco;098056;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;015245;Zelo Buon Persico;098061;;"Decreto Legislativo 6 marzo 1992, n. 251; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Milano andato a costituire la nuova Provincia di Lodi;
1992;AP;03;016045;Calolziocorte;097013;;"Decreto Legislativo 6 marzo 1992, n. 250; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Bergamo andato a costituire la nuova Provincia di Lecco;
1992;AP;03;016054;Carenno;097014;;"Decreto Legislativo 6 marzo 1992, n. 250; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Bergamo andato a costituire la nuova Provincia di Lecco;
1992;AP;03;016095;Erve;097034;;"Decreto Legislativo 6 marzo 1992, n. 250; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Bergamo andato a costituire la nuova Provincia di Lecco;
1992;AP;03;016138;Monte Marenzo;097052;;"Decreto Legislativo 6 marzo 1992, n. 250; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Bergamo andato a costituire la nuova Provincia di Lecco;
1992;AP;03;016215;Torre de' Busi;097080;;"Decreto Legislativo 6 marzo 1992, n. 250; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Bergamo andato a costituire la nuova Provincia di Lecco;
1992;AP;03;016231;Vercurago;097086;;"Decreto Legislativo 6 marzo 1992, n. 250; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Bergamo andato a costituire la nuova Provincia di Lecco;
1992;AQ;08;035006;Brescello;035029;Poviglio;"Legge Regionale 13 gennaio 1992 n. 1; B.U.R. n. 5 del 15 gennaio 1992";Rettifica di confine con il Comune di Poviglio ;
1992;CE ;08;035006;Brescello;035029;Poviglio;"Legge Regionale 13 gennaio 1992 n. 1; B.U.R. n. 5 del 15 gennaio 1992";Rettifica di confine con il Comune di Poviglio ;
1992;AQ;08;035029;Poviglio;035006;Brescello;"Legge Regionale 13 gennaio 1992 n. 1; B.U.R. n. 5 del 15 gennaio 1992";Rettifica di confine con il Comune di Brescello  ;
1992;CE ;08;035029;Poviglio;035006;Brescello;"Legge Regionale 13 gennaio 1992 n. 1; B.U.R. n. 5 del 15 gennaio 1992";Rettifica di confine con il Comune di Brescello  ;
1992;AP;08;040002;Bellaria-Igea Marina;099001;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040006;Cattolica;099002;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040010;Coriano;099003;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040017;Gemmano;099004;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040021;Misano Adriatico;099005;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040023;Mondaino;099006;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040024;Monte Colombo;099007;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040025;Montefiore Conca;099008;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040026;Montegridolfo;099009;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040027;Montescudo;099010;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040029;Morciano di Romagna;099011;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040030;Poggio Berni;099012;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040034;Riccione;099013;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040035;Rimini;099014;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040038;Saludecio;099015;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040039;San Clemente;099016;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040040;San Giovanni in Marignano;099017;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040042;Santarcangelo di Romagna;099018;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040048;Torriana;099019;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;08;040051;Verucchio;099020;;"Decreto Legislativo 6 marzo 1992, n. 252; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Forlì, che assume la nuova denominazione di Forlì-Cesena, andato a costituire la nuova Provincia di Rimini;
1992;AP;09;048007;Cantagallo;100001;;"Decreto Legislativo 6 marzo 1992, n. 254; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Firenze andato a costituire la nuova Provincia di Prato;
1992;AP;09;048009;Carmignano;100002;;"Decreto Legislativo 6 marzo 1992, n. 254; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Firenze andato a costituire la nuova Provincia di Prato;
1992;AP;09;048029;Montemurlo;100003;;"Decreto Legislativo 6 marzo 1992, n. 254; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Firenze andato a costituire la nuova Provincia di Prato;
1992;AP;09;048034;Prato;100005;;"Decreto Legislativo 6 marzo 1992, n. 254; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Firenze andato a costituire la nuova Provincia di Prato;
1992;AP;09;048047;Vaiano;100006;;"Decreto Legislativo 6 marzo 1992, n. 254; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Firenze andato a costituire la nuova Provincia di Prato;
1992;AP;09;048048;Vernio;100007;;"Decreto Legislativo 6 marzo 1992, n. 254; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Firenze andato a costituire la nuova Provincia di Prato;
1992;AP;09;048051;Poggio a Caiano;100004;;"Decreto Legislativo 6 marzo 1992, n. 254; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Firenze andato a costituire la nuova Provincia di Prato;
1992;CE ;12;058091;Roma;058120;Fiumicino;"Legge Regionale 6 marzo 1992 n. 25; B.U.R. n. 8 del 20 marzo 1992";Modificata la circoscrizione territoriale a seguito del distacco di alcune zone di territorio erette in Comune autonomo con denominazione Fiumicino;
1992;AQ;12;058120;Fiumicino;058091;Roma;"Legge Regionale 6 marzo 1992 n. 25; B.U.R. n. 8 del 20 marzo 1992";Nuovo Comune costituito con zone di territorio staccate dal Comune di Roma;
1992;CS;12;058120;Fiumicino;058091;Roma;"Legge Regionale 6 marzo 1992 n. 25; B.U.R. n. 8 del 20 marzo 1992";Nuovo Comune costituito con zone di territorio staccate dal Comune di Roma;
1992;CD;15;062074;Telese;062074;Telese Terme;"Legge Regionale 2 luglio 1992 n. 6; B.U.R. n. 30 del 13 luglio 1992                              ";Assunta la nuova denominazione di Telese Terme;
1992;AP;18;079001;Acquaro;102001;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079006;Arena;102002;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079010;Belvedere di Spinello;101001;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079013;Briatico;102003;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079014;Brognaturo;102004;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079015;Caccuri;101002;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079016;Capistrano;102005;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079019;Carfizzi;101003;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079021;Casabona;101004;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079022;Castelsilano;101005;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079026;Cerenzia;101006;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079028;Cessaniti;102006;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079031;Cirò;101007;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079032;Cirò Marina;101008;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079035;Cotronei;101009;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079037;Crotone;101010;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079038;Crucoli;101011;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079040;Cutro;101012;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079041;Dasà;102007;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079044;Dinami;102008;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079045;Drapia;102009;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079046;Fabrizia;102010;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079049;Filadelfia;102011;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079050;Filandari;102012;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079051;Filogaso;102013;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079053;Francavilla Angitola;102014;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079054;Francica;102015;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079057;Gerocarne;102016;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079062;Ionadi;102017;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079064;Isola di Capo Rizzuto;101013;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079066;Joppolo;102018;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079067;Limbadi;102019;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079070;Maierato;102020;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079075;Melissa;101014;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079076;Mesoraca;101015;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079078;Mileto;102021;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079079;Mongiana;102022;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079082;Monterosso Calabro;102023;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079084;Nardodipace;102024;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079086;Nicotera;102025;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079090;Pallagorio;101016;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079091;Parghelia;102026;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079093;Petilia Policastro;101017;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079097;Pizzo;102027;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079098;Pizzoni;102028;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079100;Polia;102029;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079101;Ricadi;102030;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079102;Roccabernarda;101018;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079103;Rocca di Neto;101019;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079104;Rombiolo;102031;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079106;San Calogero;102032;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079107;San Costantino Calabro;102033;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079109;San Gregorio d'Ippona;102034;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079111;San Mauro Marchesato;101020;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079112;San Nicola da Crissa;102035;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079113;San Nicola dell'Alto;101021;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079119;Santa Severina;101022;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079121;Sant'Onofrio;102036;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079124;Savelli;101023;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079125;Scandale;101024;;"Decreto Legislativo n. 249 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Crotone;
1992;AP;18;079128;Serra San Bruno;102037;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079132;Simbario;102038;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079135;Sorianello;102039;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079136;Soriano Calabro;102040;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
1992;AP;18;079140;Spadola;102041;;"Decreto Legislativo n. 253 del 6 marzo 1992; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Catanzaro andato a costituire la nuova Provincia di Vibo Valentia;
